Id,SalePrice
1391,235000
687,227875
1225,184000
1381,58500
122,100000
1158,230000
700,196000
787,139000
17,149000
1442,149300
998,185000
1446,129000
1200,148000
980,139000
294,235000
841,140000
1105,106000
107,100000
727,222000
24,129900
711,52000
70,225000
946,124900
426,135000
970,140000
1282,180000
104,198900
556,113000
1243,170000
1082,133000
881,157000
1366,216000
75,107400
508,208300
1316,206900
219,311500
1288,190000
1046,139600
266,175500
917,35311
810,106000
435,81000
111,136900
511,164900
41,160000
1124,118000
277,201000
340,155000
1450,92000
832,151000
186,475000
1058,248000
745,180000
1251,244000
1239,142500
943,150000
62,101000
862,131500
579,146000
798,110000
656,88000
944,143000
388,125000
128,87000
1310,179200
252,235000
1254,294000
991,348000
308,89500
194,130000
647,98300
503,140000
34,165500
1091,92900
801,200000
861,189950
58,196500
927,285000
359,130000
46,319900
1159,235128
1107,179900
1025,287000
69,80000
319,260000
292,135900
47,239686
278,141000
1341,123000
298,239000
225,386250
1339,200000
1055,255000
1407,133000
365,190000
428,109008
367,159000
1,208500
774,114500
1027,167500
67,180000
1207,107000
32,149350
846,171000
1119,140000
29,207500
295,167000
1199,178000
114,217000
246,241500
416,181134
770,538000
162,412500
679,372500
412,145000
1146,149000
39,109000
1180,93000
1352,171000
2,181500
248,140000
1335,125000
666,230500
1383,157000
1087,83500
1331,227000
93,163500
382,187750
115,259500
1060,220000
255,145000
430,175000
589,143000
179,501837
1170,625000
896,140000
390,426000
133,150750
1045,278000
1364,156932
571,142600
290,153575
247,137000
1187,95000
776,162000
553,255500
90,123600
193,192000
951,129000
1436,174000
1061,213500
437,116000
953,133900
893,154500
652,108000
1448,240000
147,105000
119,320000
1169,235000
1400,137450
534,39300
863,152000
803,189000
1374,466500
1039,97000
937,184900
898,142953
27,134800
677,87000
15,157000
501,113000
888,135500
83,245000
1024,191000
1224,137900
1371,105000
1345,155835
601,275000
876,303477
274,139000
913,88000
685,221000
1090,197000
467,167000
1337,135000
1272,185750
663,110000
448,199900
372,134432
558,108000
855,170000
1030,118000
272,241500
606,205000
450,120000
1244,465000
524,184750
215,161750
345,85000
839,144000
1268,378500
148,222500
1308,138000
1102,119500
724,135000
413,222000
689,392000
1302,177500
784,165500
343,87500
948,270000
748,265979
174,163000
1004,136905
378,340000
983,159895
739,179000
306,305900
544,133000
1041,155000
1010,102000
19,159000
286,164700
222,200000
1015,119200
23,230000
1154,120500
117,139000
979,110000
407,115000
362,145000
96,185000
1196,176000
262,276000
1197,219210
1171,171000
609,359100
180,100000
103,118964
575,139000
717,159500
1008,88000
564,185000
185,127000
468,146500
381,127000
904,240000
604,151000
72,129500
1230,127000
397,123000
875,66500
1054,144500
924,193000
347,151500
1013,165000
1318,208900
30,68500
1208,200000
797,143500
40,82000
505,147000
158,269500
933,320000
659,97500
734,131400
636,200000
1286,132500
1458,266500
1375,250000
395,109000
53,110000
989,195000
1384,112000
360,280000
1429,119000
403,108000
990,197000
422,215000
449,119500
678,109500
285,179200
593,138000
228,106000
960,155000
354,105900
823,225000
964,239000
836,128000
1211,189000
940,244400
692,755000
1178,115000
335,192000
874,133000
806,227680
8,200000
518,265000
198,235000
297,152000
1070,135000
1296,138500
123,136000
379,394432
1276,137000
1075,194000
163,220000
125,181000
552,112500
5,250000
916,75000
959,185000
1245,230000
612,148000
288,88000
957,124000
1453,145000
1103,135000
909,131000
507,215000
357,173000
353,95000
845,153900
837,153500
947,143000
668,193500
887,145000
1219,80500
334,207000
154,235000
788,233000
502,226700
722,143000
374,123000
591,185900
313,119900
43,144000
1132,93500
646,143250
1241,224900
972,173000
1275,139000
523,159000
1183,745000
763,215200
1235,130000
1094,146000
705,213000
1217,112000
1303,290000
945,137500
169,183500
361,156000
1019,160000
1441,191000
744,175000
273,290000
520,234000
815,116000
819,155000
735,108000
1368,127000
1370,232000
1136,102000
1443,310000
129,155000
999,91000
1295,115000
545,179665
380,179000
204,149000
344,266000
1248,169900
1353,134900
519,211000
489,160000
1434,186500
918,135000
233,94500
795,194500
1365,144152
515,96500
1444,121000
512,202665
113,383970
1395,246578
218,107000
500,120000
1428,140000
935,242000
226,112000
1043,196000
1247,186500
1348,283463
398,169500
541,315000
329,214500
796,171000
849,240000
1405,105000
94,133900
214,156000
771,134900
338,214000
804,582933
213,252678
619,314813
1140,144000
1137,119000
37,145000
106,250000
363,198500
851,131500
757,212000
759,179400
366,147000
857,147000
1226,145000
1457,210000
566,128000
250,277000
477,208900
782,175900
455,188000
1317,295493
1108,274725
231,148000
653,191000
71,244000
611,313000
1401,120000
1360,315000
1449,112000
411,60000
1343,228500
1152,149900
339,202500
1026,112500
44,130250
540,272000
602,141000
966,178900
1397,160000
172,215000
418,239000
838,100000
1344,177000
807,135500
883,178000
1359,177500
638,93000
424,315000
728,194500
968,135000
377,148000
525,315750
439,90350
1292,119500
151,122000
1460,147500
1403,193879
982,336000
955,127500
1385,105000
144,204000
718,157000
527,132000
584,325000
976,165000
567,325000
441,555000
1156,218000
175,184000
1234,142000
124,153900
139,230000
880,136500
1076,219500
733,222500
625,165150
785,128000
183,120000
618,105500
691,141000
1280,68400
241,262500
459,161000
682,159434
466,178740
1188,262000
1192,174000
146,130000
207,143900
1213,113000
1266,183900
325,242000
658,149000
1332,132500
715,130500
1372,165500
1392,124000
80,110000
1328,130500
688,148800
167,190000
230,192500
1410,215000
1291,180500
741,132000
101,205000
291,233230
445,210000
879,148000
1078,138800
740,190000
392,215000
87,174000
1459,142125
667,129000
1311,335000
476,132500
45,141000
789,107900
1003,232000
1138,94000
25,154000
1236,138887
833,237000
1194,165000
592,451950
1437,120500
974,182000
1057,185850
110,190000
1161,146000
223,179900
1053,165000
723,124500
56,180500
1439,149700
254,158000
1073,91500
643,345000
546,229000
478,380000
950,197500
844,141000
64,140000
414,115000
385,240000
975,167500
885,100000
452,280000
1259,190000
657,145500
370,162000
690,194700
220,167240
1363,104900
22,139400
761,127500
870,236000
421,206300
200,274900
451,110000
1162,224000
1020,213490
912,143500
697,89000
812,144500
1237,175500
1431,192140
911,154300
1050,84900
506,124500
1319,275000
1256,127500
406,150000
318,270000
184,200000
1121,118400
1351,200000
610,118500
627,139900
486,147000
279,415298
631,124000
21,325300
171,128500
902,153000
1040,80000
177,211000
328,145250
707,302000
1223,143000
471,212000
1342,155000
267,185000
616,137500
131,226000
866,148500
1404,282922
1347,262500
490,86000
607,152000
1218,229456
1165,194000
417,149500
153,190000
890,149500
850,187000
280,192000
1035,119750
270,148000
97,214000
211,98000
570,135960
1411,230000
872,200500
533,107500
1408,112000
1357,110000
1100,157000
713,189000
78,127000
264,130000
1456,175000
150,115000
470,187000
565,268000
462,155000
1278,197900
897,106500
1346,108500
696,176000
1176,285000
929,236500
1327,79000
1215,134500
587,130000
1373,274300
244,120000
1112,205000
752,162000
1398,137500
1313,302000
649,155000
1191,168000
596,319000
314,375000
934,190000
156,79000
1382,237500
1304,232000
1151,124000
1000,206000
1047,556581
1307,202500
1393,123000
26,256300
197,311872
1089,137500
16,132000
1322,72500
884,118500
622,240000
1361,189000
1051,176485
1068,167900
498,184000
793,269790
965,214900
516,402861
1426,142000
1413,90000
1096,176432
543,213250
457,98000
634,139400
432,79900
628,153000
729,110000
1289,278000
210,145000
317,260000
514,134000
1338,52500
830,147400
320,187500
1032,197000
1419,124000
142,260000
1111,188000
754,275500
1002,86000
1240,265900
581,181900
563,108000
399,67000
669,168000
253,173000
908,250000
469,250000
915,173733
358,134000
1279,237000
1301,225000
1203,117000
1306,325000
1416,175900
509,161000
750,98000
130,150000
145,125000
961,116500
848,133500
716,165000
906,128000
1097,127000
236,89500
1062,81000
