Id,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd
650,4,630,0,0,630,630,1,3,1970,1970
201,4,1121,2,440,1121,1121,2,5,2003,2004
350,9,2728,3,706,1848,1848,2,10,2005,2006
1250,5,988,1,276,876,988,1,6,1950,1950
1098,8,1088,2,461,1074,1088,1,5,1986,1986
864,5,1148,1,672,1148,1148,1,6,1959,1959
684,9,1668,3,702,1626,1668,2,7,2002,2002
1232,5,1190,2,540,1106,1190,1,6,1962,1962
1378,5,1604,2,660,984,984,2,6,1941,1960
996,4,1230,1,305,747,774,1,5,1946,1950
821,7,1640,2,595,798,798,2,6,2003,2003
1049,5,1771,2,336,0,1771,1,9,1960,2006
1333,4,816,1,288,816,816,1,3,1938,1958
760,8,2531,3,752,1318,1328,2,9,1995,1995
356,6,1200,2,521,1200,1200,2,6,1995,1995
738,8,1801,3,800,893,901,2,8,2005,2005
892,6,1683,2,440,918,918,2,7,1978,1978
453,6,1756,2,422,872,888,2,7,1996,1997
809,5,1086,2,484,1024,1086,1,6,1966,1966
212,6,1212,2,460,1212,1212,2,6,2009,2009
181,6,1525,2,440,756,769,2,5,2000,2000
600,6,1556,2,452,716,716,2,6,1980,1980
396,5,1144,1,596,1144,1144,1,6,1956,1956
245,7,2110,2,463,948,1222,2,8,1994,2002
767,7,1714,2,496,980,980,2,7,1988,1988
275,5,816,1,264,816,816,1,5,1982,1982
206,7,1442,2,500,1424,1442,2,5,1990,1990
535,8,1414,2,403,707,707,2,6,2004,2004
287,6,1734,2,440,912,1085,1,7,1962,1981
393,5,882,1,294,0,882,1,5,1959,1959
660,5,1486,2,480,1486,1486,1,7,1964,1999
221,7,1498,2,675,1498,1498,2,5,2006,2006
495,5,886,1,273,190,886,1,4,1938,1996
429,7,1208,2,628,1208,1208,2,6,2007,2007
35,9,1561,2,556,1561,1561,2,6,2005,2005
86,8,2417,2,462,1288,1301,2,9,1991,1992
235,6,1960,2,440,860,860,2,8,2002,2002
157,5,1040,2,625,0,1040,1,5,1950,1950
332,5,1056,1,308,1056,1056,1,6,1958,1992
824,6,1489,1,240,778,944,2,7,1940,1950
1202,7,1779,2,546,866,866,2,6,1998,1998
1221,5,912,1,288,912,912,1,5,1964,1964
315,7,1641,2,546,728,832,1,6,1925,1990
401,8,1288,2,500,1260,1288,1,4,1996,1996
364,6,987,1,264,483,483,1,5,1972,2007
709,7,1456,2,400,728,728,2,8,2007,2007
1088,8,1953,3,1043,1082,1082,2,9,2005,2006
703,8,2576,3,666,1234,1264,2,10,2006,2006
777,7,1614,3,865,1614,1614,2,7,2005,2006
1367,7,1790,2,588,873,882,2,7,1999,1999
984,8,2290,2,779,1128,1149,2,9,2002,2002
492,6,1578,1,240,806,958,1,5,1941,1950
1326,4,796,0,0,796,796,1,5,1922,1950
1093,6,1694,2,576,1181,1390,2,7,1925,1950
510,5,1041,1,270,1041,1041,1,6,1959,1959
68,7,1479,2,558,1453,1479,2,7,2003,2003
1298,6,1072,2,525,547,1072,2,5,2005,2006
756,6,1471,2,440,729,742,2,6,1999,1999
730,4,1208,2,539,780,848,1,5,1925,1950
939,7,1962,3,868,1391,1391,2,7,2006,2006
472,7,1969,2,534,808,1161,2,8,1977,1977
1242,7,1689,3,954,1689,1689,2,7,2007,2007
394,4,788,0,0,788,788,1,4,1941,1950
1376,8,1571,3,722,1571,1571,2,7,2007,2007
854,6,1445,2,645,1127,1445,1,7,1964,1964
348,6,1478,2,498,1478,1478,2,6,1960,1960
1141,5,952,2,840,952,952,1,4,1951,1951
330,5,1192,1,189,596,596,1,6,1920,1950
135,5,1721,2,440,1461,1721,2,7,1968,1993
765,8,1494,2,481,1494,1494,1,6,1995,1996
10,5,1077,1,205,991,1077,1,5,1939,1950
1271,7,1524,2,586,1332,1332,0,4,1979,1979
11,5,1040,1,384,1040,1040,1,5,1965,1965
1071,5,1048,1,286,1048,1048,1,6,1956,1956
623,5,980,2,484,980,980,1,6,1977,1977
867,8,1646,3,870,1638,1646,2,6,2006,2007
1262,5,1050,1,338,1050,1050,1,5,1956,1956
1305,7,1708,2,380,976,976,2,7,2004,2004
662,8,2448,3,711,1629,1686,2,8,1994,2005
371,6,1664,2,460,953,953,2,7,2000,2000
792,6,1062,2,539,1029,1062,1,5,1976,1976
559,7,1446,2,406,729,729,2,6,1996,1997
126,6,754,0,0,520,520,1,5,1935,1982
408,6,1680,1,308,840,840,2,8,1915,1976
766,9,1506,2,592,1498,1506,2,6,2008,2008
1238,7,1948,2,434,847,847,2,8,2004,2005
732,7,1146,2,438,868,1146,2,6,2003,2003
542,8,2285,3,648,969,997,2,8,2000,2000
140,6,1764,2,470,928,928,2,7,1997,1997
261,6,1382,2,884,1362,1382,1,6,1962,1962
474,8,1976,3,908,1976,1976,2,7,2006,2007
166,5,1355,0,0,644,808,2,6,1940,1999
227,7,2520,3,721,1203,1214,2,9,1995,1995
1149,7,1111,1,288,572,572,1,5,1926,1950
192,7,1479,2,484,725,725,1,7,1972,2004
307,7,2243,3,746,700,1122,2,8,1990,1991
608,5,2008,1,230,896,1112,3,8,1948,2002
1117,8,1419,2,527,408,779,2,7,2002,2002
1277,6,1395,2,497,723,735,1,6,1972,1972
483,7,1826,1,164,910,916,1,7,1915,2005
1177,5,923,1,264,876,923,1,5,1984,1985
1387,7,2784,2,564,1392,1392,3,12,1978,1978
1415,6,1848,2,370,833,1053,1,8,1923,2000
321,9,2596,3,840,1249,1249,3,9,2006,2006
1163,5,894,2,450,894,894,1,5,1968,1968
1255,7,1656,2,397,746,760,2,7,2003,2004
18,4,1296,2,516,0,1296,2,6,1967,1967
871,5,894,1,308,894,894,1,5,1962,1962
431,6,987,1,264,483,483,1,4,1971,1971
1423,6,848,2,420,848,848,1,3,2003,2003
988,9,1940,3,606,1930,1940,2,8,2009,2010
1287,6,1328,2,528,1328,1328,1,6,1963,1963
869,5,2320,2,672,0,1547,2,7,1948,1950
1009,7,1710,2,550,1710,1710,2,7,2004,2005
208,4,1100,1,312,1100,1100,1,6,1960,1960
238,7,1744,2,457,996,1014,2,7,1993,2003
1285,6,2447,1,336,804,1699,2,10,1919,1990
346,6,1577,1,312,972,972,1,6,1939,1950
1312,7,1274,2,508,1274,1274,2,6,2005,2007
706,4,1092,0,0,0,372,2,7,1930,1950
341,8,1908,2,431,967,993,2,9,2002,2002
590,5,935,1,308,742,779,1,4,1930,1960
458,4,1663,2,529,1364,1663,1,6,1954,1994
176,6,2158,2,576,1202,2158,2,7,1950,2001
550,7,2094,2,615,912,912,2,8,2003,2004
301,5,1336,1,375,1165,1336,1,5,1953,1953
460,5,1203,1,352,709,979,1,5,1950,1950
852,8,1456,2,400,1273,1456,2,7,2003,2003
907,8,1636,3,865,1623,1636,2,8,2006,2006
1315,4,948,1,280,948,948,1,5,1954,1954
1130,5,936,2,672,936,936,1,4,1980,1980
695,5,1539,2,576,927,1067,1,5,1936,1950
932,5,925,1,429,925,925,1,5,1965,1965
661,7,1935,2,550,793,1142,2,7,1976,1976
1204,7,1630,2,451,1630,1630,2,6,2000,2001
464,6,1660,1,240,715,849,1,6,1934,1995
637,2,800,0,0,264,800,1,4,1936,1950
327,8,1719,2,473,1719,1719,1,6,1993,1993
814,6,1442,1,301,1442,1442,1,7,1958,1958
699,5,894,1,336,894,894,1,5,1965,2009
644,5,1620,2,462,780,780,2,7,1969,1969
1209,5,1283,2,506,931,1283,1,6,1962,1980
60,5,780,1,352,780,780,1,4,1972,1972
14,7,1494,3,840,1494,1494,2,7,2006,2007
1452,8,1578,3,840,1573,1578,2,7,2008,2009
813,5,1044,2,504,540,1044,1,4,1952,1952
1128,7,1530,3,630,1530,1530,2,7,2004,2004
1433,4,968,1,216,656,968,2,5,1927,2007
1157,5,1265,2,502,1219,1265,2,6,1965,1999
1079,6,848,2,420,848,848,1,3,2004,2004
986,5,1164,1,240,1164,1164,1,5,1950,1950
323,7,2730,2,576,1502,1553,2,8,1986,1987
1085,6,1498,2,409,691,691,2,6,1995,1996
442,4,1440,0,0,1440,1440,2,8,1955,1955
1412,6,1668,1,271,856,1112,1,6,1950,2005
693,7,2519,2,628,1210,1238,2,9,1989,1990
555,7,2046,3,871,998,1006,2,8,2003,2004
257,6,1728,2,673,864,864,2,7,2003,2003
561,5,1392,2,528,1392,1392,1,5,1957,1996
665,8,2097,3,1134,2077,2097,1,8,2005,2006
683,6,1291,2,431,1291,1291,1,6,1996,1997
1186,5,1221,1,392,784,949,1,7,1924,1950
73,7,1718,2,427,832,885,2,7,1998,1998
258,7,1604,2,660,1604,1604,2,8,2006,2006
936,4,747,2,528,600,747,1,5,1926,1953
3,7,1786,2,608,920,920,2,6,2001,2002
1324,4,708,0,0,420,708,1,5,1940,1950
1135,6,1600,2,460,916,916,2,7,1997,1997
1281,7,1573,2,544,1573,1573,2,6,2002,2002
368,6,1431,1,296,1099,1431,1,6,1962,1962
1406,8,1646,2,482,1594,1646,2,5,2004,2005
1427,7,2127,2,525,1223,1223,2,5,1994,1994
480,4,1131,2,672,907,1131,1,7,1937,2000
928,7,1978,2,486,832,1098,2,9,1968,1968
1293,5,2372,1,432,994,1378,2,11,1892,1965
586,8,2028,3,880,1868,2028,2,7,2005,2006
118,5,1125,2,430,1125,1125,1,5,2006,2007
899,9,2364,3,820,2330,2364,2,11,2009,2010
6,5,1362,2,480,796,796,1,5,1993,1995
1354,8,3238,3,666,2033,2053,2,9,1995,1996
922,5,2200,0,0,1272,1272,2,9,1900,2003
1125,7,1482,2,392,384,812,2,7,1992,1992
985,5,1734,2,539,0,1302,2,8,1977,1977
925,6,1686,2,612,1686,1686,2,7,1980,1980
446,6,1689,2,480,1436,1689,1,7,1956,1956
137,5,1214,1,318,1214,1214,2,5,1967,1967
12,9,2324,3,736,1175,1182,3,11,2005,2006
1028,8,1646,3,800,1638,1646,2,7,2007,2008
333,8,1629,3,880,3206,1629,2,7,2003,2004
605,7,1494,2,530,1494,1494,2,6,2002,2002
569,8,2132,2,612,1496,1496,1,5,1983,2009
853,7,1646,1,240,918,918,2,7,1941,1950
694,5,1073,1,326,1073,1073,1,4,1921,1968
1399,5,1904,1,240,1208,1136,1,7,1950,1982
55,5,1360,2,572,384,1360,1,6,1955,1955
822,4,936,2,576,936,936,1,4,1953,1953
234,5,894,1,308,894,894,1,5,1976,1976
85,7,1474,2,400,384,804,2,7,1995,1996
642,7,1929,2,650,1057,1057,2,7,2001,2001
1147,6,1298,2,403,1298,1298,2,5,1985,1985
65,7,2034,2,645,1057,1057,2,8,1997,1998
1189,7,1660,2,493,831,831,2,7,2002,2002
188,5,1656,1,180,660,808,2,8,1916,1987
1083,7,1459,2,527,1459,1459,2,6,2002,2002
152,8,1710,3,866,1710,1710,2,6,2007,2008
1122,7,1552,3,782,1552,1552,2,7,2005,2006
952,5,965,1,300,828,965,1,6,1965,1965
389,7,1479,2,577,1468,1479,2,6,1999,2000
138,7,1959,3,766,1907,1959,3,9,1988,1989
173,7,1767,2,504,1064,1064,2,5,1987,1987
531,6,1509,2,600,1461,1509,2,5,1988,1989
773,6,1117,2,672,1029,1117,1,6,1976,1976
456,7,1242,2,528,1242,1242,1,6,1973,1973
1142,5,1868,2,484,780,1088,2,9,1976,1976
595,5,924,1,280,924,924,1,5,1975,1975
1270,5,1524,1,315,874,874,1,7,1958,1958
840,5,1200,1,240,768,768,1,6,1946,1995
375,7,1928,2,434,847,847,2,8,2003,2004
1321,6,1478,2,442,1478,1478,1,6,1957,1957
701,8,1800,3,765,1800,1800,2,7,2002,2002
161,6,1232,2,516,1232,1232,2,6,1984,1984
51,6,1470,2,388,794,794,2,6,1997,1997
1123,4,960,1,288,672,960,1,5,1956,1956
1320,4,948,1,248,864,948,1,5,1954,1954
671,6,1476,2,540,738,738,2,7,2005,2005
33,8,1234,2,484,1234,1234,2,7,2007,2007
239,8,1694,3,818,1694,1694,2,7,2007,2007
930,7,2236,2,642,964,993,2,8,1997,1997
355,6,1595,1,240,940,1192,1,6,1940,2000
165,6,1616,1,216,1149,1149,2,5,1926,2004
487,5,1073,2,515,1073,1073,1,6,1965,1965
753,6,1494,2,576,1479,1494,2,6,1997,1997
931,8,1466,3,610,1466,1466,2,7,2007,2007
802,4,1196,2,440,1196,1196,1,5,1916,1990
296,6,1003,2,588,1003,1003,1,6,1984,1984
954,5,1968,2,530,784,1168,2,7,1969,1969
475,8,1652,2,499,1494,1652,2,6,2000,2000
794,8,1496,2,474,1496,1496,2,7,2007,2007
473,6,1072,2,525,547,1072,1,5,2005,2005
1023,5,1248,1,160,912,912,1,6,1930,1950
942,7,2060,2,390,992,1022,2,8,1999,1999
1086,6,996,2,564,936,996,1,5,1992,1992
858,6,1481,2,343,702,702,2,6,1994,1995
98,4,960,1,432,960,960,1,6,1965,1965
1044,7,2329,2,514,1475,1532,2,10,1990,1990
577,7,1477,1,216,861,877,2,6,1928,1950
1290,8,1970,3,753,1085,1120,2,8,2006,2006
1115,5,833,1,326,833,833,1,4,1954,2000
551,6,1069,2,440,1069,1069,2,4,1977,1977
309,4,861,2,539,861,861,1,4,1940,1950
1066,7,2260,2,533,1306,1306,2,7,1996,1997
1198,7,1690,1,225,815,815,1,7,1916,1950
673,6,1208,2,546,1208,1208,1,6,1977,1977
873,5,910,2,414,105,910,1,5,1953,1996
434,6,1604,2,470,926,926,2,7,1997,1998
583,6,816,0,0,816,816,1,5,1990,1990
1424,6,2201,2,432,697,1575,2,8,1966,1966
1038,8,2263,2,905,1055,1055,2,7,2001,2002
1160,6,1876,2,540,901,943,2,8,1974,1974
799,9,3140,3,820,1926,1966,3,11,2008,2009
1018,8,1360,2,565,1220,1360,1,4,1984,1984
721,8,1742,2,564,1742,1742,2,5,1985,1985
568,7,1535,2,532,1517,1535,2,7,2004,2004
620,8,2262,3,749,1482,1482,2,10,2003,2003
1210,8,1660,2,500,1660,1660,2,8,2006,2006
493,6,1456,2,429,728,728,2,8,2006,2006
386,8,1269,2,430,1256,1269,2,6,2004,2005
282,6,1262,2,572,1262,1262,2,5,2006,2006
1267,7,1889,1,308,925,964,1,9,1910,1950
484,6,1216,2,402,1216,1216,2,5,1998,1998
283,7,1314,2,626,1314,1314,2,6,2007,2008
438,6,904,1,180,884,904,1,4,1926,2004
790,6,2087,2,444,832,976,2,9,1966,2007
549,5,825,2,720,825,825,1,4,1955,1995
1118,5,894,2,450,894,894,1,5,1967,2003
1297,5,1128,2,525,1120,1128,2,6,1963,1963
764,8,2365,3,856,1252,1268,2,8,1999,1999
1396,8,2482,3,642,1094,1133,2,9,2005,2006
910,6,1484,2,390,742,742,2,8,2005,2005
674,6,1839,2,416,1477,1839,2,7,1957,2004
1391,7,1525,2,541,1525,1525,2,6,2000,2000
687,7,1761,2,578,874,874,3,7,2007,2007
1225,7,1490,2,388,788,788,2,8,2004,2005
1381,3,864,1,200,864,864,1,5,1914,1950
122,4,1123,1,264,732,772,1,4,1939,1950
1158,7,1314,2,626,1314,1314,2,6,2007,2008
700,7,1391,2,530,1391,1391,2,5,2004,2004
787,5,1652,1,416,686,966,2,7,1915,1950
17,6,1004,2,480,1004,1004,1,5,1970,1970
1442,6,848,2,420,848,848,1,3,2004,2004
998,6,1442,2,615,1442,1442,2,6,1970,1970
1446,6,913,1,240,814,913,1,6,1966,1966
1200,4,1382,2,459,1051,1382,1,6,1963,1979
980,5,1121,2,480,1121,1121,1,5,1963,1963
294,7,2263,2,539,795,1468,2,9,1977,1994
841,6,1482,1,400,672,810,2,7,1925,1950
1105,5,1302,2,440,630,630,2,6,1970,1970
107,4,1047,1,273,641,1047,1,6,1885,1995
727,6,1680,2,540,880,1680,2,5,1988,2007
24,5,1060,2,572,1040,1060,1,6,1976,1976
711,3,729,0,0,270,729,1,5,1935,2003
70,7,2287,2,667,1304,1304,2,7,1953,1953
946,5,1869,2,456,1088,1188,1,7,1890,1996
426,7,1389,1,240,651,707,1,6,1946,1992
970,6,1095,1,264,588,1095,1,6,1958,1958
1282,7,1339,2,484,1309,1339,2,6,1990,1990
104,7,1226,3,740,1226,1226,2,6,2009,2009
556,5,1048,1,280,993,1048,1,5,1922,1950
1243,7,1173,2,528,1053,1173,2,6,1974,1974
1082,5,1040,1,308,1040,1040,1,5,1963,1963
881,5,1090,2,450,1090,1090,1,5,2005,2006
1366,7,1674,2,663,814,814,2,7,2000,2000
75,3,1605,1,379,840,840,2,8,1915,1950
508,6,1218,2,676,1218,1218,2,4,2009,2009
1316,6,2112,2,576,952,1092,2,9,1969,1969
219,7,1954,2,431,798,1137,1,8,1939,2006
1288,5,1582,2,390,1624,1582,2,7,1964,1964
1046,3,1733,2,452,0,1733,2,8,1955,1955
266,6,1422,2,576,1422,1422,2,7,1981,1981
917,2,480,1,308,480,480,0,4,1949,1950
810,5,2138,2,360,849,1075,2,11,1898,1965
435,4,630,0,0,630,630,1,3,1972,1972
111,6,1855,1,325,994,1216,2,7,1954,1972
511,5,1363,1,288,1008,1363,1,6,1951,2000
41,6,1324,2,440,1088,1324,2,6,1965,1965
1124,5,698,0,0,698,698,1,4,1947,2008
277,7,1560,2,573,1560,1560,2,7,2003,2003
340,6,1215,1,297,1215,1215,1,6,1958,1998
1450,5,630,0,0,630,630,1,3,1970,1970
832,7,1200,2,480,600,520,2,4,2005,2005
186,10,3608,3,840,1107,1518,2,12,1892,1993
1058,7,1850,2,467,973,979,2,7,1994,1994
745,8,1337,2,462,1337,1337,2,5,1993,1993
1251,7,2110,2,522,2110,2110,2,8,1968,1968
1239,6,1141,2,484,1141,1141,1,6,2005,2005
943,4,1440,0,0,1440,1440,2,8,1977,1977
62,5,1111,1,288,530,581,1,6,1920,1996
862,5,1039,2,504,1039,1039,1,6,1965,1965
579,7,1392,2,540,689,703,2,5,2007,2007
798,5,773,1,240,773,773,1,4,1953,1953
656,6,1092,1,264,525,525,1,6,1971,1971
944,5,1632,2,576,1632,1632,2,8,1967,1967
388,6,1125,1,352,1041,1125,1,6,1976,1976
128,5,840,0,0,672,840,1,5,1930,1950
1310,6,1294,2,496,1278,1294,2,6,1991,1991
252,8,1625,2,538,1573,1625,2,5,2006,2007
1254,7,2167,2,518,1192,1516,2,9,1974,2003
991,8,2392,3,870,1396,1407,2,7,1997,1998
308,6,1406,0,0,319,1035,1,6,1920,1950
194,7,1709,2,380,970,970,2,7,2004,2004
647,5,1048,2,420,0,1048,1,7,1950,1950
503,5,1214,2,461,1214,1214,1,6,1965,1965
34,5,1700,2,447,1398,1700,1,6,1959,1959
1091,3,1040,2,400,0,1040,2,6,1950,1950
801,6,1688,2,603,616,616,2,8,1997,1997
861,7,1426,1,216,912,912,1,7,1918,1998
58,7,1720,2,565,860,860,2,7,2004,2004
927,8,2374,3,656,1181,1234,2,10,2003,2004
359,5,1352,1,288,1062,1352,1,6,1958,1958
46,9,1752,2,576,1752,1752,2,6,2005,2005
